3.08567758e+14  9.55383964e+112 1.31005153e+127 
4.31377726e+20  8.50097226e-25  1.16567916e-10  
4.33229132e+20  8.48939359e-25  1.16409145e-10  
4.35080539e+20  8.47779406e-25  1.16250089e-10  
4.36931945e+20  8.46617394e-25  1.16090751e-10  
4.38783352e+20  8.45453349e-25  1.15931133e-10  
4.40634759e+20  8.44287297e-25  1.15771240e-10  
4.42486165e+20  8.43119264e-25  1.15611076e-10  
4.44337572e+20  8.41949277e-25  1.15450644e-10  
4.46188978e+20  8.40777362e-25  1.15289947e-10  
4.48040385e+20  8.39603544e-25  1.15128990e-10  
4.49891791e+20  8.38427850e-25  1.14967775e-10  
4.51743198e+20  8.37250305e-25  1.14806307e-10  
4.53594604e+20  8.36070936e-25  1.14644588e-10  
4.55446011e+20  8.34889768e-25  1.14482623e-10  
4.57297417e+20  8.33706827e-25  1.14320414e-10  
4.59148824e+20  8.32522139e-25  1.14157966e-10  
4.61000231e+20  8.31335728e-25  1.13995282e-10  
4.62851637e+20  8.30147622e-25  1.13832365e-10  
4.64703044e+20  8.28957844e-25  1.13669219e-10  
4.66554450e+20  8.27766421e-25  1.13505848e-10  
4.68405857e+20  8.26573378e-25  1.13342254e-10  
4.70257263e+20  8.25378739e-25  1.13178442e-10  
4.72108670e+20  8.24182531e-25  1.13014414e-10  
4.73960076e+20  8.22984778e-25  1.12850174e-10  
4.75811483e+20  8.21785505e-25  1.12685726e-10  
4.77662889e+20  8.20584738e-25  1.12521074e-10  
4.79514296e+20  8.19382500e-25  1.12356219e-10  
4.81365703e+20  8.18178818e-25  1.12191166e-10  
4.83217109e+20  8.16973715e-25  1.12025919e-10  
4.85068516e+20  8.15767216e-25  1.11860480e-10  
4.86919922e+20  8.14559345e-25  1.11694853e-10  
4.88771329e+20  8.13350128e-25  1.11529042e-10  
4.90622735e+20  8.12139589e-25  1.11363049e-10  
4.92474142e+20  8.10927751e-25  1.11196878e-10  
4.94325548e+20  8.09714639e-25  1.11030533e-10  
